Date	Pluie	ETP
01/01/2002	1.2	0.1
02/01/2002	0	0
03/01/2002	0	0.1
04/01/2002	0	0.1
05/01/2002	0	0
06/01/2002	0	0
07/01/2002	0	0.2
08/01/2002	0	0
09/01/2002	0	0.1
10/01/2002	0	0
11/01/2002	0	0.5
12/01/2002	1.1	0.3
13/01/2002	0	0
14/01/2002	0	0.1
15/01/2002	0.5	0.2
16/01/2002	0	0.1
17/01/2002	0	0.3
18/01/2002	0	0.3
19/01/2002	4.2	0.6
20/01/2002	2.4	0.1
21/01/2002	2.5	0.7
22/01/2002	0.6	0.3
23/01/2002	28.8	0.6
24/01/2002	8.5	0.9
25/01/2002	22.8	0.9
26/01/2002	9.5	0.5
27/01/2002	1.1	0.9
28/01/2002	3.1	1.6
29/01/2002	1.7	0.8
30/01/2002	2.6	1.1
31/01/2002	3.5	1.9
01/02/2002	3.1	1.1
02/02/2002	1.3	1.5
03/02/2002	1.1	1.9
04/02/2002	0	1.1
05/02/2002	0	1.3
06/02/2002	2.5	1.4
07/02/2002	1.1	1.2
08/02/2002	0	1.2
09/02/2002	2.4	0.9
10/02/2002	9.1	1.1
11/02/2002	11.6	0.7
12/02/2002	0	0.9
13/02/2002	10.5	0.2
14/02/2002	31.8	0.2
15/02/2002	3.4	0.4
16/02/2002	0	0.4
17/02/2002	4.3	0.7
18/02/2002	3.3	0.6
19/02/2002	0	1.3
20/02/2002	0.7	1.9
21/02/2002	0	1.3
22/02/2002	0	1.1
23/02/2002	0	0.9
24/02/2002	0	1.8
25/02/2002	2.3	1.2
26/02/2002	12.4	1.6
27/02/2002	2.7	1.5
28/02/2002	4.2	0.9
01/03/2002	0.8	1.5
02/03/2002	0	1.3
03/03/2002	0	0.8
04/03/2002	0	0.8
05/03/2002	0	0.9
06/03/2002	0	0.7
07/03/2002	0	0.7
08/03/2002	0	1.6
09/03/2002	0	1.7
10/03/2002	0	1.3
11/03/2002	0	1.3
12/03/2002	0	1.3
13/03/2002	1.2	0.5
14/03/2002	0	1.2
15/03/2002	0	1.2
16/03/2002	0	1.7
17/03/2002	0	2.8
18/03/2002	0	3.3
19/03/2002	0.3	3.2
20/03/2002	0	1.3
21/03/2002	1.3	2.2
22/03/2002	1.4	0.9
23/03/2002	0	1.2
24/03/2002	0.5	1.4
25/03/2002	5.6	1.1
26/03/2002	0	1.3
27/03/2002	0	1.8
28/03/2002	0	1.4
29/03/2002	0	1.5
30/03/2002	0	1.8
31/03/2002	0	2.4
01/04/2002	0	3.1
02/04/2002	5.9	1.4
03/04/2002	0.7	1.9
04/04/2002	0	1.2
05/04/2002	0	2.1
06/04/2002	0	2.6
07/04/2002	0	3
08/04/2002	0	2.3
09/04/2002	0	2.6
10/04/2002	0	1.2
11/04/2002	0	2.7
12/04/2002	0	1.3
13/04/2002	7.1	1.2
14/04/2002	10.5	1.6
15/04/2002	1.2	2.1
16/04/2002	1.8	1.7
17/04/2002	4.8	2.1
18/04/2002	3.3	1.8
19/04/2002	1.3	1.4
20/04/2002	7.8	1.1
